# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

4.42965 0.16559 0.0158968 -55.4553 0 20 0 0 -53.9583  -55.4745 0 19.8546 0 0 -53.982  -0.0087591 0 0.0271572 0 0 -0.0114604  0.0279315 0 0.118272 0 0 0.0351134  0 0 0 0 0 0  
4.52389 0.167062 0.0156557 -55.4998 0 20 0 0 -54.2728  -55.5193 0 19.8602 0 0 -54.3013  -0.00645593 0 0.0268797 0 0 -0.00661201  0.025952 0 0.112937 0 0 0.0350788  0 0 0 0 0 0  
4.61814 0.168576 0.0168519 -55.6527 0 20 0 0 -54.2736  -55.6732 0 19.8502 0 0 -54.3061  -0.00620863 0 0.0294879 0 0 -0.00606616  0.026713 0 0.120299 0 0 0.0385618  0 0 0 0 0 0  
4.71239 0.170064 0.0158012 -55.8605 0 20 0 0 -54.2853  -55.8776 0 19.8619 0 0 -54.3119  -0.00603906 0 0.027034 0 0 -0.00642196  0.0232042 0 0.111104 0 0 0.0330081  0 0 0 0 0 0  
4.80664 0.171507 0.0148138 -56.0003 0 20 0 0 -54.5126  -56.0164 0 19.8721 0 0 -54.5384  -0.00467754 0 0.0240929 0 0 -0.00514359  0.0207835 0 0.103773 0 0 0.0308689  0 0 0 0 0 0  
4.90088 0.172911 0.0150713 -56.0089 0 20 0 0 -54.836  -56.0249 0 19.8691 0 0 -54.8622  -0.00475706 0 0.0245868 0 0 -0.00511111  0.020717 0 0.10627 0 0 0.0312298  0 0 0 0 0 0  
4.99513 0.174321 0.0150039 -55.8174 0 20 0 0 -55.1665  -55.83 0 19.8699 0 0 -55.1841  -0.00389174 0 0.0237345 0 0 -0.00488709  0.0164656 0 0.10635 0 0 0.0225779  0 0 0 0 0 0  
5.08938 0.175774 0.0154222 -55.724 0 20 0 0 -55.475  -55.7369 0 19.866 0 0 -55.4922  -0.00375823 0 0.0244101 0 0 -0.00527683  0.0166749 0 0.109615 0 0 0.0225152  0 0 0 0 0 0  
5.18363 0.177168 0.014358 -55.6285 0 20 0 0 -55.8074  -55.6419 0 19.8744 0 0 -55.8242  -0.00405389 0 0.0228615 0 0 -0.00569563  0.0175112 0 0.102729 0 0 0.0224893  0 0 0 0 0 0  
5.27788 0.178507 0.0151531 -55.2761 0 20 0 0 -56.162  -55.2868 0 19.8685 0 0 -56.1777  -0.00564703 0 0.0244207 0 0 -0.00621134  0.0163476 0 0.107077 0 0 0.0219666  0 0 0 0 0 0  
